year_,month_,day_,percent_change_,Close_,Close_DB_,bitcoin,co,http,btc,crypto,eth,cryptocurr,nft,project,price,binanc,1,ethereum,airdrop,0,bnb,bsc,blockchain,buy,2,trade,market,get,3,defi,5,amp,doge,go,altcoin,good,invest,like,time,last,join,new,futur,follow,great,money,usd,10,day,one,token,ada,xrp,shib,4,dogecoin,make,metavers,coin,000,best,cryptonew,team,free,come,see,usdt,long,us,signal,look,elonmusk,current,news,bullish,support,exchang,hope,2022,tweet,mine,thank,year,peopl,top,20,next,short,use,take,think,nftcommun,sell,2021,today,world,solana,hold,let,link,daili,bscgem,soon
2021,2,5,-0.02857434,38144,39266,1279,1738,1734,1223,406,242,252,13,12,219,64,265,153,14,253,19,1,83,106,68,90,91,121,51,59,45,48,52,64,58,23,68,51,72,25,28,46,17,55,17,38,102,48,54,38,19,28,106,0,41,37,33,0,54,54,24,8,10,32,30,35,37,13,32,40,31,26,46,29,17,10,31,9,0,10,31,8,27,23,19,16,25,14,49,21,28,0,34,75,43,14,1,25,62,59,33,0,19
2021,2,6,0.0093309,39266,38903,2553,3171,3169,2540,626,468,352,7,55,484,144,639,191,7,449,51,12,131,250,138,204,152,306,101,65,102,90,161,135,80,46,62,94,147,76,67,117,29,329,47,56,172,109,124,50,26,59,198,0,64,217,72,0,60,146,34,11,14,89,64,69,81,37,98,109,72,95,100,25,33,42,44,15,2,25,49,43,51,37,45,28,83,15,156,35,52,0,49,138,69,22,1,46,203,98,39,0,46
2021,2,7,-0.15787081,38903,46196,2093,3030,3029,1948,624,388,248,25,33,434,158,657,225,9,420,30,6,76,357,129,246,101,281,97,50,89,108,248,130,51,33,63,93,105,50,50,74,124,406,25,76,177,76,86,44,36,78,215,0,59,379,55,0,83,43,35,27,6,102,42,64,83,29,53,142,80,137,92,16,23,31,39,20,0,27,50,17,27,37,36,27,62,45,85,57,26,0,30,123,55,40,0,44,197,78,29,0,42
2021,2,8,-0.0061315377,46196,46481,5064,5182,5173,4682,1195,479,521,15,50,585,221,1309,264,12,465,47,0,129,654,131,239,278,423,100,62,482,191,332,252,97,88,366,163,313,123,114,339,102,286,50,90,261,158,185,139,39,65,209,13,66,275,85,0,108,201,122,21,23,132,87,115,85,55,102,69,104,862,113,156,37,24,79,23,0,58,124,79,63,85,36,55,121,54,142,80,96,0,107,150,173,87,1,73,224,87,57,0,60
2021,2,9,0.03479674,46481,44918,3574,4245,4235,3276,705,495,524,14,49,557,188,855,266,26,441,103,7,157,402,150,239,226,338,94,66,176,150,225,188,106,63,178,131,224,123,76,184,69,241,47,83,223,121,186,116,71,81,250,1,73,180,100,0,108,204,148,25,23,74,85,97,78,47,104,90,73,287,108,59,34,42,70,19,3,28,63,46,84,62,64,62,145,39,76,80,93,0,104,154,150,73,1,55,210,93,46,0,57
2021,2,10,-0.06243086,44918,47909,2693,3615,3608,2518,648,389,334,20,33,531,180,704,217,52,476,70,6,118,362,137,201,167,285,115,50,119,100,192,136,74,46,117,116,148,101,100,117,34,197,32,59,192,212,134,84,76,61,222,0,88,167,78,0,103,79,146,36,19,105,56,62,100,28,66,146,65,215,100,35,23,30,64,15,4,32,63,33,83,57,44,46,118,35,144,34,55,0,72,133,85,56,6,47,194,101,47,0,42
2021,2,13,-0.033089064,47105,48717,1788,2318,2315,1766,650,268,270,8,30,306,91,347,164,7,323,35,6,90,132,68,154,123,135,38,53,69,89,80,104,69,42,93,82,78,60,59,54,20,73,23,54,103,48,64,40,16,39,169,0,30,71,50,0,70,36,92,19,6,67,15,34,46,34,37,45,49,258,54,27,16,29,30,9,1,23,34,12,26,37,24,24,36,18,52,25,29,0,44,80,37,21,0,44,69,66,31,0,17
2021,2,14,0.016101783,48717,47945,2698,3793,3791,2507,677,380,444,10,28,478,833,619,210,13,490,29,3,126,300,132,187,165,251,113,72,89,188,150,178,89,34,135,114,143,105,74,130,28,183,29,92,165,67,168,74,23,55,236,0,65,102,83,0,86,124,135,37,17,58,73,59,62,48,35,47,70,85,67,35,29,31,51,17,1,38,45,24,60,51,28,40,58,29,62,51,56,0,62,120,89,31,0,29,177,92,35,0,63
2021,2,15,-0.025488323,47945,49199,2494,4575,4567,2482,717,382,403,18,39,488,1583,647,215,11,447,36,7,126,204,122,194,223,265,123,63,96,283,133,144,112,58,83,130,109,125,74,112,33,186,31,80,154,68,114,67,26,68,219,0,55,91,64,0,69,104,126,32,12,61,50,73,62,50,57,50,67,130,78,38,25,47,42,11,0,51,57,22,47,53,38,44,62,32,59,42,60,0,112,151,77,44,1,39,178,96,53,0,36
2021,2,18,-0.07531134,51679,55888,1791,2183,2179,1737,434,301,319,6,24,360,118,374,216,3,329,76,19,95,145,93,153,130,163,44,48,59,74,77,89,74,36,73,95,68,78,48,99,29,79,15,57,99,44,83,53,29,38,146,0,31,52,52,0,71,72,78,15,16,37,36,52,34,28,32,45,46,33,43,44,12,34,42,16,1,14,40,24,31,49,30,21,45,20,53,41,32,0,53,107,57,46,4,40,65,61,33,0,35
2021,2,19,-0.003761208,55888,56099,4006,4074,4072,3735,848,457,615,17,34,542,271,987,317,11,475,164,32,125,255,179,246,485,328,78,73,152,137,223,193,113,66,132,143,247,121,56,216,56,215,26,95,242,93,155,108,35,91,246,0,58,135,86,0,91,347,139,44,10,62,86,84,56,54,84,55,85,168,73,48,43,53,63,15,2,36,51,45,82,84,61,62,91,56,60,57,82,0,75,153,120,48,2,56,216,95,54,0,63
2021,2,22,0.110253155,54207,48824,2673,3369,3364,2757,659,389,367,20,31,535,159,570,227,10,392,84,8,113,268,135,212,215,201,106,48,88,93,218,118,99,56,84,132,167,83,49,191,27,135,28,91,151,78,105,73,112,71,147,0,66,173,59,0,74,128,107,29,5,68,52,95,41,47,63,50,63,104,101,49,33,64,48,26,8,29,41,43,42,68,44,55,58,51,49,57,72,0,132,108,120,27,0,69,114,71,58,0,37
2021,2,28,-0.09054825,45137,49631,1291,1545,1543,1348,292,200,186,25,24,231,46,237,79,3,111,29,6,37,138,73,87,122,93,51,16,58,38,52,77,58,25,46,62,44,66,40,50,84,35,29,31,62,32,53,35,10,49,73,10,35,49,39,0,24,49,48,10,12,28,28,49,35,30,23,27,41,27,55,21,28,64,58,10,0,7,19,8,21,66,10,23,47,27,33,16,38,0,58,57,24,16,1,27,40,44,28,0,18
2021,3,11,0.008250192,57805,57332,188,199,201,190,47,15,38,8,1,41,6,33,13,1,28,1,0,10,11,10,9,12,6,4,4,3,5,5,6,5,3,5,3,10,6,3,18,2,5,2,4,15,1,29,3,2,3,8,0,12,4,7,0,1,9,8,5,0,3,4,4,2,2,6,0,4,6,15,3,8,1,2,2,0,2,3,1,29,3,6,3,4,2,2,8,4,0,4,7,3,0,1,0,3,4,1,0,3
2021,3,12,-0.06386036,57332,61243,3135,3916,3906,3059,759,349,719,81,21,828,248,704,235,36,529,106,18,185,276,132,222,287,256,147,51,94,136,60,136,115,56,110,74,156,137,67,179,57,125,22,123,233,88,468,107,35,73,108,0,188,44,72,2,67,97,127,34,44,99,62,66,68,35,110,110,79,33,261,62,77,46,51,25,3,20,58,23,363,47,55,55,53,39,61,52,46,1,80,181,107,42,2,64,121,75,64,0,37
2021,4,5,0.014864586,59057,58192,1635,2208,2201,1649,553,251,286,81,41,525,104,318,137,57,326,70,25,154,158,140,171,126,149,68,34,58,65,62,77,144,31,45,88,63,149,72,75,28,60,21,118,127,57,94,38,28,32,124,1,55,27,32,0,64,78,82,26,8,36,46,42,29,27,84,39,42,9,112,47,38,16,28,13,2,71,32,14,84,19,33,24,50,18,20,59,24,5,32,111,61,13,9,25,77,41,77,0,19
2021,4,6,0.038252927,58192,56048,2680,3749,3744,2516,868,441,608,114,66,1234,132,745,235,91,680,113,26,242,266,172,228,231,332,134,61,82,101,105,123,219,60,109,129,112,267,117,136,39,217,44,93,240,98,182,61,58,67,264,0,102,49,53,1,84,88,161,54,19,75,43,69,64,48,142,77,85,19,369,74,56,48,53,21,6,110,74,21,81,31,58,54,52,26,54,79,39,3,49,157,94,23,21,58,212,91,334,0,38
2021,4,7,-0.03900691,56048,58323,2711,3988,3981,2657,790,430,519,94,239,1228,149,732,246,46,662,84,26,262,342,178,277,215,334,168,69,70,89,74,123,249,155,116,140,95,255,93,141,83,204,61,112,224,98,150,72,237,61,189,0,111,52,58,0,161,98,148,53,26,71,38,81,101,43,104,149,76,16,303,43,47,54,91,44,3,118,59,23,54,76,40,35,55,46,73,54,50,2,78,135,72,31,23,71,207,88,253,0,31
2021,4,8,0.0013391707,58323,58245,2806,3772,3765,2490,762,384,546,101,166,932,133,648,226,47,599,75,18,212,322,144,224,192,291,106,73,125,89,54,91,170,121,103,103,73,261,87,138,46,195,57,106,227,69,193,54,169,44,147,0,89,40,88,1,83,72,158,81,25,83,41,67,66,38,100,104,49,21,170,51,109,51,54,26,4,105,68,26,95,120,41,40,38,23,75,25,45,0,46,134,83,37,14,50,224,66,110,0,24
2021,4,9,-0.025889318,58245,59793,2593,3546,3542,2459,692,390,629,150,70,772,108,611,204,39,553,72,15,196,271,120,196,267,305,123,73,66,90,112,121,143,43,118,111,74,245,76,135,36,196,27,137,227,88,146,55,80,70,186,4,88,51,66,0,94,80,120,52,17,72,40,38,55,38,94,80,59,20,111,79,70,48,61,16,4,105,71,18,39,28,51,43,55,24,55,38,36,13,49,131,76,33,14,53,206,84,73,0,24
2021,4,10,-0.006826789,59793,60204,3157,3937,3932,3076,894,404,679,166,67,1038,173,706,242,78,557,148,47,227,309,182,169,215,297,117,40,66,141,96,149,193,76,108,132,130,264,75,178,29,213,54,82,233,189,202,55,66,91,268,5,100,53,73,0,124,136,159,106,26,88,47,61,69,32,100,54,81,60,196,145,77,28,47,21,1,107,74,25,113,43,42,75,83,56,58,36,35,9,77,121,83,49,5,54,222,103,109,0,44
2021,4,11,0.0051925937,60204,59893,1539,2003,1999,1494,421,227,335,88,61,490,122,336,129,103,369,115,46,112,186,68,105,155,162,61,44,57,57,64,83,123,35,66,66,72,145,45,76,25,125,37,72,115,53,67,44,37,54,112,1,50,59,49,0,86,52,96,27,16,38,25,20,53,20,43,65,30,16,74,24,51,16,32,14,2,63,30,20,24,24,45,25,37,8,34,29,34,13,37,63,42,12,9,33,110,48,26,0,14
2021,4,12,-0.056847706,59893,63503,1467,1970,1967,1401,367,153,318,74,55,375,79,295,91,34,277,83,24,119,147,60,107,147,116,45,17,55,49,29,54,64,22,59,46,68,105,26,151,23,77,21,118,95,49,73,69,32,29,55,0,31,20,35,1,58,48,58,35,9,30,32,36,33,28,60,38,24,14,60,30,33,20,29,6,1,47,27,14,27,17,48,20,27,20,43,20,20,2,34,71,49,14,2,38,72,37,30,0,13
2021,4,17,0.079461366,60683,56216,420,258,258,437,256,98,153,23,9,113,54,78,58,17,91,30,13,47,53,15,54,32,32,14,14,17,10,47,12,57,24,20,7,18,41,5,15,10,4,3,20,26,20,36,11,5,37,33,2,16,47,6,0,28,8,26,14,3,11,3,5,5,4,6,3,12,11,20,11,3,8,8,5,2,13,15,6,24,5,14,0,18,3,12,6,5,4,9,13,7,1,5,10,5,14,7,0,4
2021,4,18,0.0088292295,56216,55724,5781,3340,3336,6444,2167,1164,1438,208,102,1284,655,893,776,91,470,620,148,638,573,209,592,470,270,180,203,121,273,658,244,606,138,280,199,233,380,83,146,75,172,64,354,377,244,475,123,75,401,644,23,93,669,89,2,295,145,160,302,18,162,92,124,89,106,149,49,101,146,258,244,51,118,115,76,3,142,154,92,187,99,76,63,90,45,163,87,82,35,182,231,143,40,13,150,113,171,89,47,62
2021,4,19,-0.013262975,55724,56473,5001,3573,3570,5549,2026,1181,1649,268,61,1202,534,990,703,68,674,473,144,696,505,259,494,514,253,200,227,113,136,600,173,496,74,386,139,178,387,58,134,86,124,34,446,421,191,337,107,79,395,624,17,131,483,94,1,246,155,137,218,16,128,71,95,94,68,108,58,112,104,202,158,56,83,230,36,3,116,143,40,158,81,49,124,114,48,134,51,71,44,145,311,108,59,15,119,116,184,57,35,47
2021,4,20,0.04761993,56473,53906,5199,3840,3845,5901,2130,1303,1678,267,115,1221,541,1116,700,148,756,602,173,919,480,272,646,440,247,176,236,108,162,748,187,551,102,311,159,203,347,80,155,44,156,36,446,569,242,542,94,90,433,687,15,128,655,139,1,287,154,167,174,40,131,97,102,125,53,145,73,88,131,245,134,69,73,288,40,10,101,144,72,222,93,75,464,99,38,154,90,81,27,155,433,124,43,9,129,160,175,62,0,30
2021,4,21,0.041420348,53906,51762,5412,3755,3750,6025,1921,1096,1553,349,98,1282,476,1055,661,74,765,378,163,750,481,249,453,442,264,151,202,92,148,397,159,421,103,292,126,121,380,63,178,70,126,56,350,576,323,741,100,95,341,603,14,108,445,68,0,248,203,138,242,24,89,64,110,89,73,118,70,223,89,290,148,57,93,228,25,5,119,182,59,340,56,51,140,77,48,141,85,59,20,105,411,111,43,11,119,115,127,66,1,34
2021,4,22,0.0130937705,51762,51093,6270,4058,4049,6921,2299,1390,1767,271,202,1237,530,1013,821,58,658,365,144,948,477,378,595,553,249,196,235,141,190,473,207,483,150,568,183,266,372,68,199,163,163,61,456,544,285,743,109,104,392,685,30,149,352,145,1,285,235,141,287,29,103,106,145,108,156,159,55,142,81,292,196,74,134,243,33,4,100,183,33,342,83,59,102,106,59,182,121,87,35,164,386,116,51,14,150,148,181,61,1,53
2021,4,23,0.02083916,51093,50050,7199,4632,4628,7713,2721,1477,1961,388,184,1396,668,947,899,69,493,457,156,928,713,353,722,712,322,239,223,150,200,568,265,672,170,556,250,335,473,85,211,154,203,94,486,498,367,969,162,141,515,765,3,161,541,162,1,281,341,169,525,21,109,110,170,162,158,197,105,257,92,363,209,85,163,269,42,5,139,159,69,395,128,73,112,140,130,123,134,114,32,203,400,148,76,14,172,226,172,91,0,57
2021,4,24,0.021345196,50050,49004,5081,3094,3094,5290,1850,1206,1294,242,94,1202,469,900,582,112,638,413,225,579,459,250,451,372,278,140,163,81,138,617,137,459,121,366,154,163,345,52,137,70,221,55,238,388,307,747,93,108,416,569,9,74,428,106,0,229,148,156,327,21,118,68,116,109,96,101,64,125,79,318,112,58,55,274,32,6,122,181,63,354,64,44,89,63,85,120,103,68,18,101,272,76,55,29,112,179,152,61,2,34
